Bus_ID,Operator,Route_ID,From_City,To_City,Bus_Name,Bus_Type,Departure_Time,Arrival_Time,Duration,Distance_KM,Fare,Boarding_Point,Dropping_Point,Seats,Available_Seats,Amenities,Running_Days,Rating
BUS0099,Express King,R023,Puducherry,Chennai,Express King Express,Luxury Sleeper,00:45,07:45,7h 0m,170,587,New Bus Stand,Koyambedu,36,8,"AC,Blanket,Pillow",Weekends,4.8
BUS0100,Smart Coach,R006,Chennai,Tiruppur,Smart Coach Express,Luxury Sleeper,20:45,00:30,3h 45m,475,1432,Vandalur,Avinashi,40,22,"Luxury Seat,WiFi",Weekends,4.7
BUS0101,Golden Route,R014,Chennai,Hosur,Golden Route Express,Non AC Sleeper,15:45,22:15,6h 30m,310,968,Guindy,Bus Stand,45,30,"Charging,Reading Light",Daily,4.9
BUS0102,Elite Travels,R021,Tirunelveli,Chennai,Elite Travels Express,Non AC Sleeper,13:30,01:15,11h 45m,630,1671,New Bus Stand,Perungalathur,40,32,"Charging,Reading Light",Weekdays,4.9
BUS0103,Rainbow Coaches,R009,Chennai,Kanyakumari,Rainbow Coaches Express,Luxury Sleeper,10:15,17:00,6h 45m,710,1832,Chengalpattu,Bus Stand,40,35,"AC,Blanket,Pillow",Weekdays,4.8
BUS0104,City Link,R018,Coimbatore,Chennai,City Link Express,BharatBenz Sleeper,11:15,15:00,3h 45m,510,1290,Gandhipuram,Guindy,45,36,"AC,WiFi,Charging",Daily,4.8
BUS0105,Blue Bird,R018,Coimbatore,Chennai,Blue Bird Express,AC Sleeper,08:00,14:00,6h 0m,510,1323,Gandhipuram,Perungalathur,45,18,"GPS,USB Charging",Weekends,4.9
BUS0106,Star Line,R007,Chennai,Tirunelveli,Star Line Express,Non AC Seater,23:45,09:45,10h 0m,630,1608,Vandalur,New Bus Stand,36,11,"AC,WiFi,Charging",Daily,4.2
BUS0107,Comfort Bus,R001,Chennai,Madurai,Comfort Bus Express,Non AC Seater,17:15,20:15,3h 0m,460,1348,Tambaram,Anna Nagar,45,32,"Blanket,Pillow,Water",Weekdays,4.4
BUS0108,Galaxy Bus,R011,Chennai,Dindigul,Galaxy Bus Express,AC Seater,15:30,22:00,6h 30m,420,1246,Vandalur,Bus Stand,36,21,"AC,Live Tracking",Weekdays,4.7
BUS0109,Golden Route,R023,Puducherry,Chennai,Golden Route Express,AC Sleeper,21:45,01:00,3h 15m,170,618,New Bus Stand,Guindy,36,14,"WiFi,Charging,Water",Daily,4.7
BUS0110,Golden Route,R015,Chennai,Bengaluru,Golden Route Express,Non AC Seater,19:15,04:30,9h 15m,345,1008,Guindy,Kempegowda Bus Station,45,33,"AC,WiFi,Charging",Daily,4.9
BUS0111,Rainbow Coaches,R007,Chennai,Tirunelveli,Rainbow Coaches Express,Luxury Sleeper,17:00,00:30,7h 30m,630,1577,Tambaram,Junction,40,8,"Luxury Seat,WiFi",Weekends,4.7
BUS0112,Smart Coach,R002,Chennai,Coimbatore,Smart Coach Express,BharatBenz Sleeper,19:00,07:45,12h 45m,510,1311,Perungalathur,Ukkadam,45,28,"Luxury Seat,WiFi",Daily,4.1
BUS0113,Comfort Bus,R025,Tirupati,Chennai,Comfort Bus Express,Non AC Seater,01:00,11:15,10h 15m,150,482,Central Bus Stand,Tambaram,45,17,"AC,Blanket,Pillow",Weekdays,4.8
BUS0114,Comfort Bus,R016,Chennai,Tirupati,Comfort Bus Express,BharatBenz Sleeper,18:45,02:15,7h 30m,150,501,Tambaram,Central Bus Stand,45,21,"AC,Blanket,Pillow",Weekends,4.4
BUS0115,Golden Route,R017,Madurai,Chennai,Golden Route Express,BharatBenz Sleeper,04:30,13:45,9h 15m,460,1178,Mattuthavani,Koyambedu,36,8,"Luxury Seat,WiFi",Daily,4.5
BUS0116,Fast Wheels,R018,Coimbatore,Chennai,Fast Wheels Express,Non AC Seater,03:00,09:15,6h 15m,510,1483,Ukkadam,Vandalur,36,4,"AC,Live Tracking",Weekends,5.0
BUS0117,Happy Journey,R012,Chennai,Karaikudi,Happy Journey Express,Non AC Sleeper,07:45,14:00,6h 15m,410,1103,Perungalathur,Bus Stand,36,21,"Charging,Reading Light",Weekdays,4.8
BUS0118,Happy Journey,R018,Coimbatore,Chennai,Happy Journey Express,Volvo Multi Axle,21:00,00:00,3h 0m,510,1453,Gandhipuram,Perungalathur,36,31,"AC,Blanket,Pillow",Weekends,4.4
BUS0119,Royal Rider,R010,Chennai,Thanjavur,Royal Rider Express,BharatBenz Sleeper,19:00,07:45,12h 45m,350,947,Perungalathur,New Bus Stand,45,23,"GPS,USB Charging",Weekdays,4.2
BUS0120,Comfort Bus,R004,Chennai,Salem,Comfort Bus Express,Luxury Sleeper,19:30,00:00,4h 30m,345,1058,Koyambedu,New Bus Stand,36,29,"AC,Live Tracking",Weekdays,4.0
BUS0121,Metro Connect,R004,Chennai,Salem,Metro Connect Express,Non AC Sleeper,17:45,23:00,5h 15m,345,877,Chengalpattu,Old Bus Stand,40,26,"Blanket,Pillow,Water",Daily,4.0
BUS0122,Express King,R005,Chennai,Erode,Express King Express,AC Seater,09:45,17:30,7h 45m,400,1105,Vandalur,Perundurai,40,33,"AC,Blanket,Pillow",Weekdays,4.0
BUS0123,Comfort Bus,R023,Puducherry,Chennai,Comfort Bus Express,BharatBenz Sleeper,06:30,09:30,3h 0m,170,645,New Bus Stand,Koyambedu,40,2,"AC,WiFi,Charging",Weekends,4.4
BUS0124,Rainbow Coaches,R014,Chennai,Hosur,Rainbow Coaches Express,AC Sleeper,04:30,09:45,5h 15m,310,848,Guindy,Bus Stand,45,35,"Luxury Seat,WiFi",Weekdays,3.9
BUS0125,Blue Bird,R012,Chennai,Karaikudi,Blue Bird Express,Volvo Multi Axle,06:15,13:00,6h 45m,410,1300,Vandalur,Bus Stand,40,33,"Blanket,Pillow,Water",Daily,3.9
BUS0126,Blue Bird,R003,Chennai,Trichy,Blue Bird Express,Non AC Sleeper,23:30,10:00,10h 30m,330,1019,Vandalur,Central Bus Stand,45,4,"GPS,USB Charging",Weekends,4.2
BUS0127,City Link,R013,Chennai,Puducherry,City Link Express,Non AC Sleeper,11:15,16:30,5h 15m,170,728,Chengalpattu,New Bus Stand,40,25,"Charging,Reading Light",Weekends,4.7
BUS0128,Blue Bird,R008,Chennai,Nagercoil,Blue Bird Express,AC Seater,14:45,23:00,8h 15m,705,1768,Tambaram,Vadasery Bus Stand,40,28,"AC,WiFi,Charging",Daily,4.6
BUS0129,Galaxy Bus,R023,Puducherry,Chennai,Galaxy Bus Express,Semi Sleeper,06:45,12:30,5h 45m,170,526,New Bus Stand,Guindy,40,36,"Luxury Seat,WiFi",Weekends,4.9
BUS0130,Galaxy Bus,R020,Trichy,Chennai,Galaxy Bus Express,Non AC Seater,11:00,20:45,9h 45m,330,1062,Chathiram Bus Stand,Guindy,40,22,"GPS,USB Charging",Daily,4.4
BUS0131,Smart Coach,R012,Chennai,Karaikudi,Smart Coach Express,Non AC Seater,05:00,16:30,11h 30m,410,1095,Perungalathur,Bus Stand,36,13,"GPS,USB Charging",Weekends,4.9
